Data Source,Tag,Name,Parent FQN,Type
,,tb1-process-model,gateway,model
,,cap_weight,tb1-process-model,node
tb1-process-plc,Production_History[0].Cap_Weight,Production_History[0].Cap_Weight,tb1-process-model.cap_weight,property
,,capping_station_complete,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Complete,Production_History[0].Capping_Station_Complete,tb1-process-model.capping_station_complete,property
,,capping_station_duration,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Duration,Production_History[0].Capping_Station_Duration,tb1-process-model.capping_station_duration,property
,,capping_station_finish_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Day,Production_History[0].Capping_Station_Finish_Time.Day,tb1-process-model.capping_station_finish_time.day,property
,,capping_station_finish_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Hour,Production_History[0].Capping_Station_Finish_Time.Hour,tb1-process-model.capping_station_finish_time.hour,property
,,capping_station_finish_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.MicroSecond,Production_History[0].Capping_Station_Finish_Time.MicroSecond,tb1-process-model.capping_station_finish_time.microsecond,property
,,capping_station_finish_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Minute,Production_History[0].Capping_Station_Finish_Time.Minute,tb1-process-model.capping_station_finish_time.minute,property
,,capping_station_finish_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Month,Production_History[0].Capping_Station_Finish_Time.Month,tb1-process-model.capping_station_finish_time.month,property
,,capping_station_finish_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Second,Production_History[0].Capping_Station_Finish_Time.Second,tb1-process-model.capping_station_finish_time.second,property
,,capping_station_finish_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Year,Production_History[0].Capping_Station_Finish_Time.Year,tb1-process-model.capping_station_finish_time.year,property
,,capping_station_op_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Op_Required,Production_History[0].Capping_Station_Op_Required,tb1-process-model.capping_station_op_required,property
,,capping_station_start_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Day,Production_History[0].Capping_Station_Start_Time.Day,tb1-process-model.capping_station_start_time.day,property
,,capping_station_start_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Hour,Production_History[0].Capping_Station_Start_Time.Hour,tb1-process-model.capping_station_start_time.hour,property
,,capping_station_start_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.MicroSecond,Production_History[0].Capping_Station_Start_Time.MicroSecond,tb1-process-model.capping_station_start_time.microsecond,property
,,capping_station_start_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Minute,Production_History[0].Capping_Station_Start_Time.Minute,tb1-process-model.capping_station_start_time.minute,property
,,capping_station_start_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Month,Production_History[0].Capping_Station_Start_Time.Month,tb1-process-model.capping_station_start_time.month,property
,,capping_station_start_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Second,Production_History[0].Capping_Station_Start_Time.Second,tb1-process-model.capping_station_start_time.second,property
,,capping_station_start_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Year,Production_History[0].Capping_Station_Start_Time.Year,tb1-process-model.capping_station_start_time.year,property
,,current_vehicle_id,tb1-process-model,node
tb1-process-plc,Production_History[0].Current_Vehicle_ID,Production_History[0].Current_Vehicle_ID,tb1-process-model.current_vehicle_id,property
,,dry_fill_color1_count_dispensed,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color1_Count_Dispensed,Production_History[0].Dry_Fill_Color1_Count_Dispensed,tb1-process-model.dry_fill_color1_count_dispensed,property
,,dry_fill_color1_count_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color1_Count_Required,Production_History[0].Dry_Fill_Color1_Count_Required,tb1-process-model.dry_fill_color1_count_required,property
,,dry_fill_color2_count_dispensed,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color2_Count_Dispensed,Production_History[0].Dry_Fill_Color2_Count_Dispensed,tb1-process-model.dry_fill_color2_count_dispensed,property
,,dry_fill_color2_count_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color2_Count_Required,Production_History[0].Dry_Fill_Color2_Count_Required,tb1-process-model.dry_fill_color2_count_required,property
,,dry_fill_color3_count_dispensed,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color3_Count_Dispensed,Production_History[0].Dry_Fill_Color3_Count_Dispensed,tb1-process-model.dry_fill_color3_count_dispensed,property
,,dry_fill_color3_count_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color3_Count_Required,Production_History[0].Dry_Fill_Color3_Count_Required,tb1-process-model.dry_fill_color3_count_required,property
,,dry_fill_complete,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Complete,Production_History[0].Dry_Fill_Complete,tb1-process-model.dry_fill_complete,property
,,dry_fill_duration,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Duration,Production_History[0].Dry_Fill_Duration,tb1-process-model.dry_fill_duration,property
,,dry_fill_finish_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Day,Production_History[0].Dry_Fill_Finish_Time.Day,tb1-process-model.dry_fill_finish_time.day,property
,,dry_fill_finish_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Hour,Production_History[0].Dry_Fill_Finish_Time.Hour,tb1-process-model.dry_fill_finish_time.hour,property
,,dry_fill_finish_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.MicroSecond,Production_History[0].Dry_Fill_Finish_Time.MicroSecond,tb1-process-model.dry_fill_finish_time.microsecond,property
,,dry_fill_finish_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Minute,Production_History[0].Dry_Fill_Finish_Time.Minute,tb1-process-model.dry_fill_finish_time.minute,property
,,dry_fill_finish_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Month,Production_History[0].Dry_Fill_Finish_Time.Month,tb1-process-model.dry_fill_finish_time.month,property
,,dry_fill_finish_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Second,Production_History[0].Dry_Fill_Finish_Time.Second,tb1-process-model.dry_fill_finish_time.second,property
