Production_History,{...},,Process_Data[1000],Standard,Data & Process Recipe Information,Read/Write,0,,,,0
Production_History[0],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
Production_History[0].MES_Schedule_Unique_ID,'253756',,STRING,Standard,Data & Process Recipe Information Unique ID Provided by MES for Traceability,Read/Write,,,,,
Production_History[0].Vial_Bar_Code_String,'20200265 VIAL 0122',,STRING,Standard,Data & Process Recipe Information Vial Bar Code Data,Read/Write,,,,,
Production_History[0].Current_Vehicle_ID,6,Decimal,DINT,Standard,Data & Process Recipe Information Current MagnaMotion Carrier Number (As defined by MM Controller),Read/Write,,,,,
Production_History[0].Vial_Empty_Weight,0.049999237,Float,REAL,Standard,Data & Process Recipe Information Weight of Vial Empty when Loaded At Station 1,Read/Write,,,,,
Production_History[0].Dry_Fill_Op_Required,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes,Read/Write,,,,,
Production_History[0].Dry_Fill_Color1_Count_Required,1,Decimal,DINT,Standard,Data & Process Recipe Information Number of Color 1 (Red) Elements Required  - Loaded at Dry Fill Station,Read/Write,,,,,
Production_History[0].Dry_Fill_Color2_Count_Required,1,Decimal,DINT,Standard,Data & Process Recipe Information Number of Color 2 (Yellow) Elements Required  - Loaded at Dry Fill Station,Read/Write,,,,,
Production_History[0].Dry_Fill_Color3_Count_Required,1,Decimal,DINT,Standard,Data & Process Recipe Information Number of Color 3 (Blue) Elements Required  - Loaded at Dry Fill Station,Read/Write,,,,,
Production_History[0].Dry_Fill_Color1_Count_Dispensed,0,Decimal,DINT,Standard,Data & Process Recipe Information Number of Color 1 (Red) Elements Dispensed by Robot at Dry Fill Station,Read/Write,,,,,
Production_History[0].Dry_Fill_Color2_Count_Dispensed,0,Decimal,DINT,Standard,Data & Process Recipe Information Number of Color 2 (Yellow) Elements Dispensed by Robot at Dry Fill Station,Read/Write,,,,,
Production_History[0].Dry_Fill_Color3_Count_Dispensed,0,Decimal,DINT,Standard,Data & Process Recipe Information Number of Color 3 (Blue) Elements Dispensed by Robot at Dry Fill Station,Read/Write,,,,,
Production_History[0].Dry_Fill_Pos1_Color,1,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Dry_Fill_Pos2_Color,2,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Dry_Fill_Pos3_Color,3,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Dry_Fill_Pos4_Color,1,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Dry_Fill_Pos5_Color,2,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Dry_Fill_Pos6_Color,3,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Dry_Fill_Pos7_Color,1,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Dry_Fill_Complete,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes; 2=Process Incomplete,Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Op_Required,1,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes,Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Volume_Req_Tank100,7,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank100 (Water),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Volume_Req_Tank200,8,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank200 (Color1/Red),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Volume_Req_Tank300,9,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank300 (Color2/Yellow),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Volume_Req_Tank400,6,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid to Dispense From Tank400 (Color2/Blue),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Volume_Disp_Tank100,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank100 (Water),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Volume_Disp_Tank200,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank200 (Color1/Red),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Volume_Disp_Tank300,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank300 (Color2/Yellow),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Volume_Disp_Tank400,0,Float,REAL,Standard,Data & Process Recipe Information Amount of Fluid Dispensed From Tank400 (Color2/Blue),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Complete,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes; 2=Process Incomplete,Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Op_Required,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes,Read/Write,,,,,
