mimeType,model_id,tag_id,vqts
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:03.137Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:05.140Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:05.452Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:07.140Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:09.143Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:11.143Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:11.455Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:13.143Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:15.143Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:17.143Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:19.143Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:19.455Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:21.143Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:23.143Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:25.143Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:25.455Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:27.151Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:29.158Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:31.158Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:39.013Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:40.714Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:42.717Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:44.728Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:45.041Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:46.728Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:48.728Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:50.728Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:52.732Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:53.044Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:54.732Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:56.733Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:58.733Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:46:59.046Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:00.733Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:02.733Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:04.733Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:06.733Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:07.046Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:08.733Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:10.734Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:12.734Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:13.047Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:14.734Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:16.734Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:18.734Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:20.741Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:21.053Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:22.741Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:24.741Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:26.741Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:27.053Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:28.741Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:30.742Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:32.742Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:34.742Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:47:35.055Z"",""v"":false}]"
